Player,Position,Team,Market
David De Ga,GK,1,40
Sergio Romero,GK,1,5
Daily Blind,Defender,1,22
Chris Smalling,Defender,1,20
Marcos Roho,Defender,1,19
Phil Jones,Defender,1,14
Luke Shaw,Defender,1,21
Antonio Valencia,Defender,1,8
Morgan Schenerdlin,Midfilder,1,28
Paul Pogba,Midfilder,1,70
Andrea Herrra,Midfilder,1,28
Markus Fellani ,Midfilder,1,15
Jaun Mata ,Midfilder,1,31
Wayne Rooney,Forward,1,35
Antony martial,Forward,1,32
Zltan,Forward,1,12
Claudio Bravo,GK,1,15
Willy Cablero,GK,1,2
Otamandi,Defender,1,32
kompany,Defender,1,30
Kolarov,Defender,1,11
john stones,Defender,1,28
zableta,Defender,1,10
Fernando ,Midfilder,1,16
Fernandino,Midfilder,1,28
Kevin Debr,Midfilder,1,60
David Silva,Midfilder,1,33
Fabian Delph,Midfilder,1,10
Sterling,Forward,1,45
Navas,Forward,1,20
Ageuro,Forward,1,60
Molito,Forward,1,18
Petr Cech,GK,1,12
David Ospana,Defender,1,8
Laurent Kosilney,Defender,1,22
Mustafi,Defender,1,20
per martasaka,Defender,1,10
Mon real,Defender,1,15
Berlin,Defender,1,18
Cochelin,Midfilder,1,13
Ramsey,Midfilder,1,35
xhaka,Midfilder,1,35
Santi Cazola,Midfilder,1,20
Mesult Oziil,Midfilder,1,50
Walcot,Forward,1,22
Perez,Forward,1,12
Giroud,Forward,1,25
Welbeck,Forward,1,17
Sanchaz,Midfilder,1,55
Courtio,GK,1,35
David luiz,Defender,1,28
Cahill,Defender,1,16
Azperikota,Defender,1,20
matic,Defender,1,32
Iavnovic,Defender,1,10
John Obi Mickel,Midfilder,1,11
Cesc,Midfilder,1,45
Oscar,Midfilder,1,35
Hazard,Midfilder,1,65
Willian,Midfilder,1,32
Pedro,Forward,1,23
Costa,Forward,1,45
Batyushi,Forward,1,25
Hugo Loris,GK,2,24
Toby Ald,Defender,2,27
jan Vertogan,Defender,2,23
kyle walker,Defender,2,15
Dany Rose,Defender,2,14
Eric Dier,Midfilder,2,18
Dele Ali,Midfilder,2,20
Moussa Sisoko,Midfilder,2,18
Dembelle,Midfilder,2,18
Christen Eriksen,Midfilder,2,31
Erik Ramela,Forward,2,26
Hery Kane,Forward,2,40
Heung-min-son,Forward,2,25
Simon Mongolet,GK,2,12
Sakho,Defender,2,18
Joel Matip,Defender,2,18
Dejan Loren,Defender,2,15
Alberto Monero,Defender,2,15
Nathinel Clyne,Defender,2,21
Emre Can ,Midfilder,2,18
Lucas,Midfilder,2,10
Henderson,Midfilder,2,28
